1,2,3,,,county,travel_mode,sum
Rensselaer County,Public transportation,4,,,,,
Rensselaer County,Other travel mode,12,,,,,
Richmond County, Drove alone,696,,,,,
Richmond County, Carpooled,227,,,,,
Richmond County,Public transportation,238,,,,,
Richmond County,Other travel mode,48,,,,,
Richmond County, Drove alone,3537,,,,,
Richmond County, Carpooled,678,,,,,
Richmond County,Public transportation,1090,,,,,
Richmond County,Other travel mode,74,,,,,
Rockland County, Drove alone,4490,,,,,
Rockland County, Carpooled,1122,,,,,
Rockland County,Public transportation,86,,,,,
Rockland County,Other travel mode,14,,,,,
Rockland County, Drove alone,1123,,,,,
Rockland County, Carpooled,284,,,,,
Rockland County,Public transportation,96,,,,,
Rockland County,Other travel mode,25,,,,,
Saratoga County, Drove alone,31,,,,,
Saratoga County,Public transportation,19,,,,,
Schoharie County, Drove alone,5,,,,,
Schoharie County,Other travel mode,1,,,,,
Suffolk County, Drove alone,2388,,,,,
Suffolk County, Carpooled,279,,,,,
Suffolk County,Public transportation,322,,,,,
Suffolk County,Other travel mode,10,,,,,
Suffolk County, Drove alone,17499,,,,,
Suffolk County, Carpooled,3019,,,,,
Suffolk County,Public transportation,4133,,,,,
Suffolk County,Other travel mode,108,,,,,
Ulster County, Drove alone,153,,,,,
Ulster County,Public transportation,13,,,,,
Ulster County,Other travel mode,16,,,,,
Ulster County, Drove alone,105,,,,,
Ulster County,Public transportation,40,,,,,
Westchester County, Drove alone,23319,,,,,
Westchester County, Carpooled,3221,,,,,
Westchester County,Public transportation,3706,,,,,
Westchester County,Other travel mode,397,,,,,
Westchester County, Drove alone,4604,,,,,
Westchester County, Carpooled,490,,,,,
Westchester County,Public transportation,1094,,,,,
Westchester County,Other travel mode,40,,,,,
