1,2,3,,,county,travel_mode,sum
Marin, Carpooled,58,,,,,
Marin, Drove alone,14074,,,,,
Marin, Carpooled,3033,,,,,
Marin,Public transportation,7590,,,,,
Marin,Other travel mode,540,,,,,
Marin, Drove alone,826,,,,,
Marin, Carpooled,110,,,,,
Marin,Public transportation,20,,,,,
Marin,Other travel mode,30,,,,,
Marin, Drove alone,3833,,,,,
Marin, Carpooled,308,,,,,
Marin,Public transportation,109,,,,,
Marin,Other travel mode,52,,,,,
Merced County, Drove alone,702,,,,,
Merced County, Carpooled,210,,,,,
Merced County,Public transportation,2,,,,,
Merced County, Drove alone,153,,,,,
Merced County, Carpooled,27,,,,,
Merced County,Other travel mode,27,,,,,
Merced County, Drove alone,190,,,,,
Merced County, Carpooled,51,,,,,
Merced County,Public transportation,10,,,,,
Merced County, Drove alone,2561,,,,,
Merced County, Carpooled,1080,,,,,
Merced County,Other travel mode,8,,,,,
Merced County, Drove alone,15,,,,,
Merced County, Carpooled,6,,,,,
Monterey County, Drove alone,406,,,,,
Monterey County, Carpooled,167,,,,,
Monterey County,Other travel mode,3,,,,,
Monterey County, Drove alone,76,,,,,
Monterey County, Carpooled,22,,,,,
Monterey County, Drove alone,26,,,,,
Monterey County,Public transportation,7,,,,,
Monterey County, Drove alone,188,,,,,
Monterey County, Carpooled,65,,,,,
Monterey County,Public transportation,5,,,,,
Monterey County, Drove alone,3685,,,,,
Monterey County, Carpooled,628,,,,,
Monterey County,Public transportation,37,,,,,
Monterey County,Other travel mode,300,,,,,
Monterey County, Drove alone,43,,,,,
Napa, Drove alone,828,,,,,
Napa, Carpooled,160,,,,,
Napa,Public transportation,20,,,,,
Napa,Other travel mode,19,,,,,
Napa, Drove alone,1723,,,,,
Napa, Carpooled,185,,,,,
Napa,Public transportation,7,,,,,
Napa, Drove alone,955,,,,,
Napa, Carpooled,165,,,,,
Napa, Drove alone,36760,,,,,
Napa, Carpooled,5714,,,,,
Napa,Public transportation,318,,,,,
Napa,Other travel mode,7108,,,,,
Napa, Drove alone,1122,,,,,
Napa, Carpooled,386,,,,,
Napa,Public transportation,221,,,,,
Napa,Other travel mode,16,,,,,
Napa, Drove alone,325,,,,,
Napa, Carpooled,22,,,,,
Napa, Drove alone,1855,,,,,
Napa, Carpooled,171,,,,,
Napa,Public transportation,10,,,,,
Napa,Other travel mode,20,,,,,
Orange County, Drove alone,128,,,,,
Orange County, Carpooled,68,,,,,
Orange County,Other travel mode,107,,,,,
Orange County, Drove alone,97,,,,,
Orange County,Other travel mode,18,,,,,
Orange County, Drove alone,43,,,,,
Orange County, Carpooled,7,,,,,
Orange County, Drove alone,186,,,,,
Orange County, Carpooled,8,,,,,
Orange County,Public transportation,14,,,,,
Orange County,Other travel mode,175,,,,,
Orange County, Drove alone,396,,,,,
Orange County, Carpooled,60,,,,,
Orange County,Other travel mode,83,,,,,
Orange County, Drove alone,65,,,,,
Orange County, Carpooled,4,,,,,
Orange County,Other travel mode,34,,,,,
Orange County,Other travel mode,75,,,,,
Placer County, Drove alone,588,,,,,
Placer County, Carpooled,71,,,,,
Placer County,Other travel mode,10,,,,,
Placer County, Drove alone,339,,,,,
Placer County, Carpooled,19,,,,,
Placer County,Public transportation,31,,,,,
Placer County, Drove alone,81,,,,,
Placer County, Carpooled,14,,,,,
Placer County, Drove alone,84,,,,,
Placer County, Carpooled,11,,,,,
Placer County, Drove alone,300,,,,,
Placer County, Carpooled,33,,,,,
